corridor_id,origin_id,origin_name,destination_id,destination_name,destination_commune_old,destination_coordinate_status,destination_verification_status,straight_distance_km,road_distance_km,detour_ratio,road_time_base_min,uav_mission_time_base_min,time_saved_base_min,time_saved_base_pct,time_saved_base_pct_percent_display,radius_utilisation_pct,radius_screen_flag,destination_access_gap_score,uav_assumption,corridor_evidence_type,published_sandbox_match_note,evidence_source_url,aerial_route_factor,candidate_aerial_distance_km,uav_speed_conservative_kmh,uav_speed_base_kmh,uav_speed_upper_reference_kmh,fixed_mission_time_min,uav_mission_time_conservative_min,uav_mission_time_upper_reference_min,time_saved_conservative_min,time_saved_upper_min,time_saved_conservative_pct,time_saved_upper_pct,road_time_model_source,road_time_base_min_uploaded_v2,road_time_base_min_delta_vs_uploaded_v2,population_potentially_served_worldpop_2020_reference,population_potentially_served_worldpop_2023_proportional,population_source_for_scoring,population_allocation_assumption,destination_access_gap_score_type,medical_accessibility_need_score,uav_benefit_score,need_formula,benefit_formula,double_counting_resolution,need_benefit_quadrant,promising_flag_pre_feasibility,distance_feasibility_score,payload_feasibility_score,terrain_feasibility_score_study_area,weather_feasibility_score_climatology,flight_feasibility_score,terrain_constraint_score_study_area,weather_risk_score_climatology,monsoon_weather_risk_score,distance_exposure_risk_score,operational_risk_score,feasibility_method_note,uav_spec_status,priority_score_baseline,priority_score_equity_first,priority_score_efficiency_first,priority_score_safety_first,final_classification_baseline,rank_baseline
HF001_HF004,HF001,Trung tâm Y tế Mường Ảng,HF004,Trạm Y tế xã Ngối Cáy,Ngối Cáy,present,within_study_area_bounds_unverified_source,7.04,17.711,2.516,53.2,14.3,38.9,0.7313,73.1,51.6,WITHIN_REFERENCE_RADIUS,0.9479,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",PUBLISHED_SANDBOX_MEDICAL_CORRIDOR,Published sandbox medical corridor; current post-2025 area: Nà Tấu,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,7.744,40,50,60,5,16.6,12.7,36.6,40.5,0.6877,0.7605,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,30.845794035588437,22.4,2708.44,2591.24,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.5822,1.0,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,High Need / High Benefit,True,1.0,1.0,0.2738,0.8108,0.8264,0.7262,0.1892,0.3014,0.5163,0.4548,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.7649,0.7109,0.8153,0.7385,LAUNCH,1
HF001_HF003,HF001,Trung tâm Y tế Mường Ảng,HF003,Trạm Y tế xã Mường Đăng,Mường Đăng,present,within_study_area_bounds_unverified_source,5.919,12.503,2.112,42.9,12.8,30.1,0.7013,70.1,43.4,WITHIN_REFERENCE_RADIUS,0.8666,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",PUBLISHED_SANDBOX_MEDICAL_CORRIDOR,Published sandbox medical corridor; current post-2025 area: Nà Tấu,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,6.511,40,50,60,5,14.8,11.5,28.1,31.4,0.6558,0.7317,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,21.87800688311211,21.0,4017.71,3843.85,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.5743,0.8332,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,High Need / High Benefit,True,1.0,1.0,0.2738,0.8108,0.8264,0.7262,0.1892,0.3014,0.4341,0.426,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.715,0.6765,0.7412,0.702,CONDITIONAL PILOT,2
HF001_HF010,HF001,Trung tâm Y tế Mường Ảng,HF010,Trạm Y tế xã Búng Lao,Búng Lao,present,within_study_area_bounds_unverified_source,13.642,22.292,1.634,61.9,23.0,38.9,0.6283,62.8,100.0,NEAR_REFERENCE_RADIUS_LIMIT,0.9834,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",SKYBRIDGE_EXPANSION_CANDIDATE,Not named in published sandbox medical-corridor list; treated as SkyBridge expansion candidate,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,15.006,40,50,60,5,27.5,20.0,34.4,41.9,0.5556,0.6768,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,26.914442945352192,35.0,8732.65,8354.76,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.9141,0.7571,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,High Need / High Benefit,True,0.2846,1.0,0.2738,0.8108,0.5044,0.7262,0.1892,0.3014,1.0,0.6241,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.7108,0.747,0.7077,0.6379,CONDITIONAL PILOT,3
HF001_HF009,HF001,Trung tâm Y tế Mường Ảng,HF009,Trạm Y tế xã Mường Lạn,Mường Lạn,present,within_study_area_bounds_unverified_source,11.769,23.728,2.016,58.0,20.5,37.5,0.6459,64.6,86.3,WITHIN_REFERENCE_RADIUS,0.8601,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",SKYBRIDGE_EXPANSION_CANDIDATE,Not named in published sandbox medical-corridor list; treated as SkyBridge expansion candidate,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,12.946,40,50,60,5,24.4,17.9,33.6,40.1,0.579,0.6906,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,43.67065128870541,14.3,3455.29,3305.77,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.5404,0.8239,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,Low Need / High Benefit,False,0.677,1.0,0.2738,0.8108,0.681,0.7262,0.1892,0.3014,0.8631,0.5761,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.6489,0.6136,0.6844,0.6173,CONDITIONAL PILOT,4
HF001_HF008,HF001,Trung tâm Y tế Mường Ảng,HF008,Trạm Y tế xã Xuân Lao,Xuân Lao,present,within_study_area_bounds_unverified_source,14.318,22.563,1.576,52.5,23.9,28.6,0.5448,54.5,105.0,NEAR_REFERENCE_RADIUS_LIMIT,0.9934,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",SKYBRIDGE_EXPANSION_CANDIDATE,Not named in published sandbox medical-corridor list; treated as SkyBridge expansion candidate,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,15.75,40,50,60,5,28.6,20.7,23.9,31.8,0.4548,0.6048,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,38.34307473680517,14.2,5661.66,5416.66,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.7701,0.5801,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,High Need / High Benefit,True,0.1429,1.0,0.2738,0.8108,0.4407,0.7262,0.1892,0.3014,1.0,0.6241,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.5913,0.6268,0.5793,0.5417,PHASE 2,5
HF001_HF007,HF001,Trung tâm Y tế Mường Ảng,HF007,Trạm Y tế xã Nặm Lịch,Nặm Lịch,present,within_study_area_bounds_unverified_source,7.383,13.09,1.773,33.7,14.7,19.0,0.5624,56.2,54.1,WITHIN_REFERENCE_RADIUS,0.7508,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",SKYBRIDGE_EXPANSION_CANDIDATE,Not named in published sandbox medical-corridor list; treated as SkyBridge expansion candidate,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,8.121,40,50,60,5,17.2,13.1,16.5,20.6,0.4901,0.6106,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,23.30783885025087,10.4,2244.71,2147.57,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.3819,0.5499,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,Low Need / Low Benefit,False,1.0,1.0,0.2738,0.8108,0.8264,0.7262,0.1892,0.3014,0.5414,0.4636,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.5589,0.5198,0.5618,0.5737,PHASE 2,6
HF001_HF005,HF001,Trung tâm Y tế Mường Ảng,HF005,Trạm Y tế xã Ẳng Cang,Ẳng Cang,present,within_study_area_bounds_unverified_source,2.726,3.634,1.333,11.4,8.6,2.8,0.2458,24.6,20.0,WITHIN_REFERENCE_RADIUS,0.6985,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",SKYBRIDGE_EXPANSION_CANDIDATE,Not named in published sandbox medical-corridor list; treated as SkyBridge expansion candidate,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,2.999,40,50,60,5,9.5,8.0,1.9,3.4,0.1669,0.2984,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,7.670643749013887,3.7,10278.15,9833.38,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.7349,0.0321,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,High Need / Low Benefit,False,1.0,1.0,0.2738,0.8108,0.8264,0.7262,0.1892,0.3014,0.1999,0.344,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.539,0.6047,0.429,0.5623,PHASE 2,7
HF001_HF002,HF001,Trung tâm Y tế Mường Ảng,HF002,Trạm Y tế xã Ẳng Tở,Ẳng Tở,present,within_study_area_bounds_unverified_source,2.89,3.649,1.263,13.5,8.8,4.7,0.3471,34.7,21.2,WITHIN_REFERENCE_RADIUS,0.6862,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",PUBLISHED_SANDBOX_MEDICAL_CORRIDOR,Published sandbox medical corridor; current post-2025 area: Búng Lao,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,3.179,40,50,60,5,9.8,8.2,3.7,5.3,0.2764,0.3941,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,4.565788603753588,8.9,6872.87,6575.46,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.5543,0.1371,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,Low Need / Low Benefit,False,1.0,1.0,0.2738,0.8108,0.8264,0.7262,0.1892,0.3014,0.2119,0.3482,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.5069,0.535,0.4307,0.5424,PHASE 2,8
HF001_HF006,HF001,Trung tâm Y tế Mường Ảng,HF006,Trạm Y tế xã Ẳng Nưa,Ẳng Nưa,fallback_centroid,fallback_requires_manual_verification,2.535,3.229,1.274,10.8,8.3,2.5,0.2272,22.7,18.6,WITHIN_REFERENCE_RADIUS,0.326,"Aligned to v2: 40/50/60 km/h scenarios, 1.1 aerial route factor, 5 min fixed mission time",SKYBRIDGE_EXPANSION_CANDIDATE,Not named in published sandbox medical-corridor list; treated as SkyBridge expansion candidate,https://www.vietnam.vn/ap-dung-sandbox-phat-trien-kinh-te-khong-gian-tam-thap,1.1,2.789,40,50,60,5,9.2,7.8,1.6,3.0,0.1497,0.2788,integrated_v3_osm_rerun_with_uploaded_facility_coordinates,,,4441.1,4248.92,WorldPop 2023 total allocated by 2020 commune proportions,Proportional allocation; replace when WorldPop 2023 is summarized by commune polygon,operational_access_gap_no_population,0.1094,0.0018,0.60*AccessGapOperationalNorm(no population) + 0.40*Population2023ProportionalNorm,0.50*TimeSavedPctNorm + 0.30*TimeSavedMinNorm + 0.20*DetourRatioNorm,Population removed from AccessGap used inside Need; 2023 proportional population is counted once as standalone Need input,Low Need / Low Benefit,False,1.0,1.0,0.2738,0.8108,0.8264,0.7262,0.1892,0.3014,0.1859,0.3391,"MVP corridor screen; terrain/weather are study-area level, not route-specific",SCENARIO_ASSUMPTION_NOT_OBSERVED_SANDBOX_SPEC,0.3115,0.2864,0.2595,0.3996,HOLD,9
