month,valid_observation_count_mean,valid_observation_count_std,valid_observation_count_min,valid_observation_count_max,precipitation_total_mean,precipitation_total_std,precipitation_total_min,precipitation_total_max,precipitation_mean_daily_mean,precipitation_mean_daily_std,precipitation_mean_daily_min,precipitation_mean_daily_max,mean_temperature_mean,mean_temperature_std,mean_temperature_min,mean_temperature_max,min_daily_temperature_mean,min_daily_temperature_std,min_daily_temperature_min,min_daily_temperature_max,max_daily_temperature_mean,max_daily_temperature_std,max_daily_temperature_min,max_daily_temperature_max,mean_wind_speed_mean,mean_wind_speed_std,mean_wind_speed_min,mean_wind_speed_max,max_daily_wind_speed_mean,max_daily_wind_speed_std,max_daily_wind_speed_min,max_daily_wind_speed_max,precip_risk_score,wind_risk_score,monthly_weather_risk_score
1,31.0,0.0,31,31,32.95399999999999,32.368082735929846,4.3,76.08,1.0630322580645162,1.0441317011590274,0.13870967741935483,2.4541935483870967,13.971548387096774,1.5599887002979318,12.241935483870968,15.819354838709677,7.984,2.1742423967902016,4.59,10.56,17.994,0.6540871501566132,17.11,18.93,1.1618064516129032,0.06606708349346102,1.0799999999999998,1.2561290322580645,1.818,0.2457030728338577,1.59,2.09,0.0425,0.2273,0.1072
2,28.2,0.44721359549995787,28,29,67.7,66.5822055807706,11.25,173.46,2.415086206896552,2.380878747787366,0.3879310344827586,6.195,16.846120689655173,1.705653446724946,14.232857142857142,18.99310344827586,10.459999999999999,2.30750947993719,6.56,12.33,20.919999999999998,0.9378432704881984,20.24,22.49,1.2002783251231528,0.07669928868798921,1.085,1.2810344827586206,1.72,0.14747881203752625,1.49,1.9,0.0966,0.215,0.138
3,31.0,0.0,31,31,53.544,49.24013891125816,22.61,139.82,1.727225806451613,1.588391577782521,0.7293548387096774,4.510322580645161,20.736,0.8305323631523911,19.813225806451616,21.698709677419355,14.3,2.189611837746591,11.8,17.8,24.386000000000003,0.9010160930860224,23.67,25.92,1.278774193548387,0.11276383099950857,1.1525806451612903,1.4254838709677418,1.8719999999999999,0.2304777646542069,1.57,2.11,0.0691,0.234,0.1268
4,30.0,0.0,30,30,92.946,71.55619770502064,22.67,203.46,3.0982,2.3852065901673543,0.7556666666666667,6.782,23.781666666666666,2.4316220352312605,21.093666666666667,27.544333333333334,18.328,4.244145379225363,12.55,23.8,27.306,1.9348204051022413,25.38,30.16,1.2305333333333333,0.12589250264500357,1.05,1.399,1.714,0.27418971534322734,1.45,2.1,0.1239,0.2142,0.1555
5,31.0,0.0,31,31,201.69,81.86785052754226,94.89,324.04,6.506129032258064,2.640898404114266,3.060967741935484,10.452903225806452,24.56,1.3198448297469605,22.38258064516129,25.86225806451613,20.414,2.467008309673885,16.46,22.63,27.434000000000005,1.5678105752928173,25.17,29.07,1.0863225806451613,0.060895417077311956,1.0041935483870967,1.1612903225806452,1.576,0.1453616180427282,1.42,1.74,0.2602,0.197,0.2381
6,30.0,0.0,30,30,263.432,32.31194005317539,212.24,301.75,8.781066666666666,1.0770646684391796,7.074666666666667,10.058333333333334,24.650133333333333,0.5716322924553667,23.828666666666667,25.196,23.028,0.3810774199555776,22.45,23.47,26.433999999999997,1.2091236495908941,24.97,27.7,1.0193333333333334,0.08062326656189944,0.9296666666666666,1.1153333333333333,1.5779999999999998,0.27752477366894657,1.24,1.97,0.3512,0.1972,0.2973
7,31.0,0.0,31,31,260.014,68.27148548259369,189.66,332.51,8.387548387096775,2.202305983309474,6.118064516129032,10.726129032258065,24.718387096774194,0.42717290521161366,24.287096774193547,25.279354838709676,23.088,0.2847279403219848,22.65,23.38,26.089999999999996,0.6028681447878965,25.64,26.89,0.9550322580645162,0.03325757954654072,0.9270967741935483,1.003548387096774,1.3359999999999999,0.1395707705789432,1.16,1.52,0.3355,0.167,0.2765
8,31.0,0.0,31,31,273.43199999999996,48.10111194140943,234.68,353.94,8.820387096774194,1.55164877230353,7.570322580645161,11.41741935483871,24.222645161290323,0.14201361485931965,24.003225806451614,24.330322580645163,22.238,0.4620822437618672,21.45,22.66,25.756,0.3371646482061832,25.16,25.99,0.9534193548387098,0.08344825236073164,0.8551612903225807,1.0445161290322582,1.6480000000000001,0.33476857678103544,1.32,2.16,0.3528,0.206,0.3014
9,30.0,0.0,30,30,218.23200000000003,53.44763530784126,177.13,291.38,7.2744,1.7815878435947088,5.904333333333333,9.712666666666667,23.6986,0.35699777465848614,23.121,24.022666666666666,21.407999999999998,0.17049926686059244,21.19,21.58,25.706,0.4194401029944565,25.34,26.29,0.9274666666666667,0.023693177639706076,0.9049999999999999,0.966,1.8,0.6827517850580838,1.3,2.78,0.291,0.225,0.2679
10,31.0,0.0,31,31,94.49000000000001,81.11452212766837,27.26,234.3,3.048064516129032,2.616597487989302,0.8793548387096775,7.558064516129033,20.977612903225808,0.875592310302325,19.90290322580645,21.87741935483871,16.886000000000003,1.9870908383866097,14.5,19.29,24.512,1.0560634450637898,22.86,25.66,1.0463870967741937,0.06578288635623189,0.9816129032258064,1.130967741935484,1.532,0.13160547101089687,1.38,1.72,0.1219,0.1915,0.1463
11,30.0,0.0,30,30,63.06,41.142956262281395,8.82,113.67,2.102,1.37143187540938,0.294,3.789,18.099133333333334,1.4072092476482194,16.402,19.87,13.404,2.8567516517891436,10.65,17.53,22.554,0.6923005127832862,21.9,23.71,1.0598666666666667,0.10757390224605809,0.8936666666666666,1.1900000000000002,1.576,0.22210357943986409,1.25,1.84,0.0841,0.197,0.1236
12,31.0,0.0,31,31,23.577999999999996,18.149988154266104,9.61,47.8,0.7605806451612903,0.5854834888472937,0.31,1.5419354838709676,14.526387096774192,1.314909092262927,13.083548387096773,16.29741935483871,9.928,1.6878744029103583,8.32,12.48,18.45,2.351765294411838,16.59,22.24,1.1256129032258064,0.04986172346822397,1.0435483870967743,1.1706451612903226,1.65,0.1484924240491749,1.49,1.88,0.0304,0.2062,0.092
